lease_id,no_rent_change,rent_change_10,rent_change_20,lease_length_2,lease_length_3,lease_length_1,age_range_under_24,age_range_24_29,age_range_30_39,age_range_40_49,age_range_50_59,age_range_60,NoFinesViolations,PositiveSurvey,LatePayments,HOA_mandatory,Renewed
HPA0145,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0146,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0148,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
HPA0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0150,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0156,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
HPA0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0159,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HPA0161,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
HPA0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
HPA0165,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0170,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0171,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0173,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
HPA0174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0176,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HPA0177,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
HPA0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0183,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
HPA0184,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
HPA0185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
HPA0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0187,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0188,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
HPA0189,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
HPA0190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0198,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
HPA0199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
HPA0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0202,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0203,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HPA0205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0206,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
HPA0207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0208,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
HPA0209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
HPA0210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0211,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0216,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0217,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
HPA0218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0221,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
HPA0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
